statistic,seer_site_id,site_label,recode_group,sex,rate_per_100k,rate_se,rate_lower_ci,rate_upper_ci,observed_count,count_population,period,rate_basis,requested_sex_was_substituted
incidence,1,All Cancer Sites Combined,All Cancer Sites Combined,both,450.674521,0.229377,450.225061,451.124333,4022635,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,1,All Cancer Sites Combined,All Cancer Sites Combined,female,426.246576,0.311313,425.636627,426.857209,1973892,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,1,All Cancer Sites Combined,All Cancer Sites Combined,male,488.288877,0.350081,487.602967,488.975537,2048743,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,3,Oral Cavity and Pharynx,Oral Cavity and Pharynx,both,11.740924,0.036655,11.669190,11.813006,106995,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,3,Oral Cavity and Pharynx,Oral Cavity and Pharynx,female,6.632436,0.038283,6.557611,6.707934,31465,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,3,Oral Cavity and Pharynx,Oral Cavity and Pharynx,male,17.495310,0.065309,17.367537,17.623821,75530,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,17,Esophagus,Digestive System,both,4.197683,0.021694,4.155269,4.240441,38801,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,17,Esophagus,Digestive System,female,1.724989,0.018968,1.688010,1.762621,8552,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,17,Esophagus,Digestive System,male,7.103648,0.041927,7.021706,7.186335,30249,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,18,Stomach,Digestive System,both,7.481187,0.029622,7.423239,7.539489,66385,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,18,Stomach,Digestive System,female,5.941683,0.036533,5.870292,6.013757,27767,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,18,Stomach,Digestive System,male,9.385858,0.049024,9.290014,9.482463,38618,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,19,Small Intestine,Digestive System,both,2.729261,0.017912,2.694265,2.764611,24221,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,19,Small Intestine,Digestive System,female,2.421328,0.023315,2.375845,2.467494,11329,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,19,Small Intestine,Digestive System,male,3.106721,0.028062,3.051960,3.162239,12892,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,20,Colon and Rectum (including Appendix),Digestive System,both,37.552558,0.066933,37.421484,37.683989,327882,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,20,Colon and Rectum (including Appendix),Digestive System,female,33.030160,0.086562,32.860715,33.200289,152791,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,20,Colon and Rectum (including Appendix),Digestive System,male,42.706577,0.104701,42.501608,42.912307,175091,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,34,"Anus, Anal Canal & Anorectum",Digestive System,both,2.034159,0.015288,2.004302,2.064365,18490,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,34,"Anus, Anal Canal & Anorectum",Digestive System,female,2.441531,0.022944,2.396766,2.486962,11859,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,34,"Anus, Anal Canal & Anorectum",Digestive System,male,1.573956,0.019840,1.535307,1.613356,6631,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,35,Liver and Intrahepatic Bile Duct,Digestive System,both,9.524903,0.032461,9.461384,9.588762,89339,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,35,Liver and Intrahepatic Bile Duct,Digestive System,female,5.698037,0.034605,5.630411,5.766317,28118,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,35,Liver and Intrahepatic Bile Duct,Digestive System,male,13.904964,0.057684,13.792131,14.018525,61221,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,38,Gallbladder,Digestive System,both,1.199248,0.011768,1.176292,1.222555,10742,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,38,Gallbladder,Digestive System,female,1.482221,0.017756,1.447622,1.517482,7221,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,38,Gallbladder,Digestive System,male,0.874205,0.015119,0.844819,0.904365,3521,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,40,Pancreas,Digestive System,both,13.923515,0.039898,13.845422,14.001954,125939,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,40,Pancreas,Digestive System,female,12.446592,0.051199,12.346442,12.547396,61095,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,40,Pancreas,Digestive System,male,15.666265,0.063156,15.542722,15.790566,64844,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,46,Larynx,Respiratory System,both,2.471725,0.016510,2.439469,2.504321,23265,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,46,Larynx,Respiratory System,female,0.937903,0.014061,0.910544,0.965920,4642,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,46,Larynx,Respiratory System,male,4.280376,0.032203,4.217488,4.343999,18623,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,47,Lung and Bronchus,Respiratory System,both,47.172044,0.072713,47.029634,47.314797,434448,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,47,Lung and Bronchus,Respiratory System,female,43.569693,0.094673,43.384332,43.755698,217732,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,47,Lung and Bronchus,Respiratory System,male,52.001109,0.114668,51.776603,52.226369,216716,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,50,Bones and Joints,Bones and Joints,both,1.050685,0.011711,1.027856,1.073894,8343,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,50,Bones and Joints,Bones and Joints,female,0.911514,0.015378,0.881620,0.942159,3686,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,50,Bones and Joints,Bones and Joints,male,1.203876,0.017944,1.168959,1.239577,4657,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,51,Soft Tissue including Heart,Soft Tissue including Heart,both,3.510219,0.020915,3.469344,3.551462,29346,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,51,Soft Tissue including Heart,Soft Tissue including Heart,female,2.988889,0.026901,2.936393,3.042101,13036,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,51,Soft Tissue including Heart,Soft Tissue including Heart,male,4.158181,0.033285,4.093196,4.223947,16310,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,53,Melanoma of the Skin,Skin excluding Basal and Squamous,both,22.343925,0.051612,22.242879,22.445327,195301,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,53,Melanoma of the Skin,Skin excluding Basal and Squamous,female,17.945309,0.064939,17.818253,18.073066,80732,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,53,Melanoma of the Skin,Skin excluding Basal and Squamous,male,28.320310,0.085824,28.152343,28.489045,114569,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,55,Breast,Breast,female,132.529813,0.175638,132.185788,132.874533,603016,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,55,Breast,Breast,male,1.246895,0.017944,1.211969,1.282589,5081,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,"[{""requested_sex"": ""both"", ""returned_sex"": ""male"", ""seer_site_id"": 55, ""statistic"": ""incidence""}]"
incidence,57,Cervix Uteri,Female Genital System,female,7.677088,0.045232,7.588686,7.766249,30381,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,"[{""requested_sex"": ""both"", ""returned_sex"": ""female"", ""seer_site_id"": 57, ""statistic"": ""incidence""}, {""requested_sex"": ""male"", ""returned_sex"": ""female"", ""seer_site_id"": 57, ""statistic"": ""incidence""}]"
incidence,58,"Corpus and Uterus, NOS",Female Genital System,female,28.659175,0.079467,28.503631,28.815392,136959,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,"[{""requested_sex"": ""both"", ""returned_sex"": ""female"", ""seer_site_id"": 58, ""statistic"": ""incidence""}, {""requested_sex"": ""male"", ""returned_sex"": ""female"", ""seer_site_id"": 58, ""statistic"": ""incidence""}]"
