entry_name,source_accession,uniprot_accession,uniprot_status,surfy_class,class_conflict,verification_bucket,census_accession,resolved_on
1A01_HUMAN,P30443,P04439,merged,surface,no,disagrees,P04439,2026-08-06
1A02_HUMAN,P01892,P04439,merged,surface,no,disagrees,P04439,2026-08-06
1A03_HUMAN,P04439,P04439,active,surface,no,agrees,P04439,2026-08-06
1A11_HUMAN,P13746,P04439,merged,surface,no,disagrees,P04439,2026-08-06
1A23_HUMAN,P30447,P04439,merged,surface,no,disagrees,P04439,2026-08-06
1A24_HUMAN,P05534,P04439,merged,surface,no,disagrees,P04439,2026-08-06
1A25_HUMAN,P18462,P04439,merged,surface,no,disagrees,P04439,2026-08-06
1A26_HUMAN,P30450,P04439,merged,surface,no,disagrees,P04439,2026-08-06
1A29_HUMAN,P30512,P04439,merged,surface,no,disagrees,P04439,2026-08-06
1A30_HUMAN,P16188,P04439,merged,surface,no,disagrees,P04439,2026-08-06
1A31_HUMAN,P16189,P04439,merged,surface,no,disagrees,P04439,2026-08-06
1A32_HUMAN,P10314,P04439,merged,surface,no,disagrees,P04439,2026-08-06
1A33_HUMAN,P16190,P04439,merged,surface,no,disagrees,P04439,2026-08-06
1A34_HUMAN,P30453,P04439,merged,surface,no,disagrees,P04439,2026-08-06
1A36_HUMAN,P30455,P04439,merged,surface,no,disagrees,P04439,2026-08-06
1A43_HUMAN,P30456,P04439,merged,surface,no,disagrees,P04439,2026-08-06
1A66_HUMAN,P30457,P04439,merged,surface,no,disagrees,P04439,2026-08-06
1A68_HUMAN,P01891,P04439,merged,surface,no,disagrees,P04439,2026-08-06
1A69_HUMAN,P10316,P04439,merged,surface,no,disagrees,P04439,2026-08-06
1A74_HUMAN,P30459,P04439,merged,surface,no,disagrees,P04439,2026-08-06
1A80_HUMAN,Q09160,P04439,merged,surface,no,disagrees,P04439,2026-08-06
1B07_HUMAN,P01889,P01889,active,surface,no,agrees,P01889,2026-08-06
1B08_HUMAN,P30460,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B13_HUMAN,P30461,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B14_HUMAN,P30462,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B15_HUMAN,P30464,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B18_HUMAN,P30466,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B27_HUMAN,P03989,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B35_HUMAN,P30685,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B37_HUMAN,P18463,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B38_HUMAN,Q95365,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B39_HUMAN,P30475,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B40_HUMAN,Q04826,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B41_HUMAN,P30479,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B42_HUMAN,P30480,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B44_HUMAN,P30481,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B45_HUMAN,P30483,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B46_HUMAN,P30484,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B47_HUMAN,P30485,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B48_HUMAN,P30486,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B49_HUMAN,P30487,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B50_HUMAN,P30488,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B51_HUMAN,P18464,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B52_HUMAN,P30490,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B53_HUMAN,P30491,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B54_HUMAN,P30492,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B55_HUMAN,P30493,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B56_HUMAN,P30495,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B57_HUMAN,P18465,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B58_HUMAN,P10319,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B59_HUMAN,Q29940,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B67_HUMAN,Q29836,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B73_HUMAN,Q31612,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B78_HUMAN,P30498,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B81_HUMAN,Q31610,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1B82_HUMAN,Q29718,P01889,merged,surface,no,disagrees,P01889,2026-08-06
1C01_HUMAN,P30499,P10321,merged,surface,no,disagrees,P10321,2026-08-06
1C02_HUMAN,P30501,P10321,merged,surface,no,disagrees,P10321,2026-08-06
1C03_HUMAN,P04222,P10321,merged,surface,no,disagrees,P10321,2026-08-06
