census_accession,gene,label,source
P51677,CCR3,C-C chemokine receptor type 3,spancache
P05362,ICAM1,Intercellular adhesion molecule 1,spancache
Q96LB2,MRGPRX1,Mas-related G protein-coupled receptor member X1,spancache
Q9UNW8,GPR132,Probable G protein-coupled receptor 132,spancache
Q9Y5F0,PCDHB13,Protocadherin beta-13,spancache
Q9UQQ1,NAALADL1,Aminopeptidase NAALADL1,spancache
Q8NC54,KCT2,Keratinocyte-associated transmembrane protein 2,spancache
Q8NEW7,TMIE,Transmembrane inner ear expressed protein,spancache
Q969I6,SLC38A4,Sodium-coupled neutral amino acid transporter 4,spancache
O75121,MFAP3L,Microfibrillar-associated protein 3-like,spancache
Q9Y2I2,NTNG1,Netrin-G1,spancache
Q6ZVN8,HJV,Hemojuvelin,spancache
Q8TEB9,RHBDD1,Rhomboid-related protein 4,spancache
Q9P273,TENM3,Teneurin-3,spancache
Q16280,CNGA2,Cyclic nucleotide-gated channel alpha-2,spancache
P32970,CD70,CD70 antigen,spancache
Q01726,MC1R,Melanocyte-stimulating hormone receptor,spancache
Q8NH85,OR8U3,Olfactory receptor 8U3,spancache
Q9UHP7,CLEC2D,C-type lectin domain family 2 member D,spancache
P32745,SSTR3,Somatostatin receptor type 3,spancache
P54762,EPHB1,Ephrin type-B receptor 1,spancache
O14917,PCDH17,Protocadherin-17,spancache
Q5VUY2,AADACL4,Arylacetamide deacetylase-like 4,spancache
Q8N386,LRRC25,Leucine-rich repeat-containing protein 25,spancache
Q8NER5,ACVR1C,Activin receptor type-1C,spancache
Q8NBM4,UBAC2,Ubiquitin-associated domain-containing protein 2,spancache
Q99726,SLC30A3,Probable proton-coupled zinc antiporter SLC30A3,spancache
P43003,SLC1A3,Excitatory amino acid transporter 1,spancache
Q9NZ43,USE1,Vesicle transport protein USE1,spancache
Q86WA9,SLC26A11,Sodium-independent sulfate anion transporter,spancache
P15941,MUC1,Mucin-1,spancache
Q9NY46,SCN3A,Sodium channel protein type 3 subunit alpha,spancache
P55259,GP2,Pancreatic secretory granule membrane major glycoprotein GP2,spancache
Q9UNX9,KCNJ14,ATP-sensitive inward rectifier potassium channel 14,spancache
Q9Y5I4,PCDHAC2,Protocadherin alpha-C2,spancache
Q9BQS2,SYT15,Synaptotagmin-15,spancache
A4D0T7,SMIM30,Small integral membrane protein 30,spancache
P34969,HTR7,5-hydroxytryptamine receptor 7,spancache
O75954,TSPAN9,Tetraspanin-9,spancache
Q9H339,OR51B5,Olfactory receptor 51B5,spancache
Q8NGY9,OR2L8,Olfactory receptor 2L8,spancache
Q8NGN4,OR10G9,Olfactory receptor 10G9,spancache
Q86VB7,CD163,Scavenger receptor cysteine-rich type 1 protein M130,spancache
Q9UPC5,GPR34,Probable G protein-coupled receptor 34,spancache
Q8N9M5,TMEM102,Transmembrane protein 102,spancache
Q86WK7,AMIGO3,Amphoterin-induced protein 3,spancache
Q9H341,OR51M1,Olfactory receptor 51M1,spancache
Q9NYW3,TAS2R7,Taste receptor type 2 member 7,spancache
P01133,EGF,Pro-epidermal growth factor,spancache
P59534,TAS2R39,Taste receptor type 2 member 39,spancache
Q8NGY7,OR10J6P,Putative olfactory receptor 10J6,spancache
