alias,alias_upper,accession,gene,kind,ambiguous
"(2E,6E)-farnesyl diphosphate synthase","(2E,6E)-FARNESYL DIPHOSPHATE SYNTHASE",P14324,FDPS,alt_full,no
(N-acetylneuraminyl)-galactosylglucosylceramide,(N-ACETYLNEURAMINYL)-GALACTOSYLGLUCOSYLCERAMIDE,Q00973,B4GALNT1,alt_full,no
"1,4-cineole 2-exo-monooxygenase","1,4-CINEOLE 2-EXO-MONOOXYGENASE",P08684,CYP3A4,alt_full,no
"1,8-cineole 2-exo-monooxygenase","1,8-CINEOLE 2-EXO-MONOOXYGENASE",P08684,CYP3A4,alt_full,no
1-acyl-sn-glycerol-3-phosphate O-acyltransferase 10,1-ACYL-SN-GLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE 10,Q53EU6,GPAT3,alt_full,no
1-acyl-sn-glycerol-3-phosphate O-acyltransferase 9,1-ACYL-SN-GLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE 9,Q53EU6,GPAT3,alt_full,no
1-acylglycerol-3-phosphate O-acyltransferase,1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE,Q8NF37,LPCAT1,alt_full,no
1-acylglycerol-3-phosphate O-acyltransferase 11,1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE 11,Q7L5N7,LPCAT2,alt_full,no
1-acylglycerol-3-phosphate O-acyltransferase 2,1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE 2,O15120,AGPAT2,alt_full,no
1-acylglycerol-3-phosphate O-acyltransferase 3,1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE 3,Q9NRZ7,AGPAT3,alt_full,no
1-acylglycerol-3-phosphate O-acyltransferase 4,1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE 4,Q9NRZ5,AGPAT4,alt_full,no
1-acylglycerol-3-phosphate O-acyltransferase 5,1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE 5,Q9NUQ2,AGPAT5,alt_full,no
1-acylglycerol-3-phosphate O-acyltransferase 6,1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE 6,Q86UL3,GPAT4,alt_full,no
1-acylglycerol-3-phosphate O-acyltransferase 7,1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE 7,Q643R3,LPCAT4,alt_full,no
1-acylglycerol-3-phosphate O-acyltransferase 8,1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE 8,Q6UWP7,LCLAT1,alt_full,no
1-acylglycerol-3-phosphate O-acyltransferase GPAT2,1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE GPAT2,Q6NUI2,GPAT2,alt_full,no
