gene_symbol,uniprot,accession_count,main_location,additional_location,if_reliability
A1BG,P04217,1,,,
A1CF,Q9NQ94,1,Nucleoplasm,,Supported
A2M,P01023,1,,,
A2ML1,A8K2U0,1,,,
A3GALT2,U3KPV4,1,,,
A4GALT,Q9NPC4,1,Mitochondria,,Uncertain
A4GNT,Q9UNA3,1,,,
AAAS,Q9NRG9,1,Nuclear membrane,"Centrosome, Cytosol",Approved
AACS,Q86V21,1,Vesicles,,Approved
AADAC,P22760,1,,,
AADACL2,Q6P093,1,,,
AADACL3,Q5VUY0,1,,,
AADACL4,Q5VUY2,1,,,
AADAT,Q8N5Z0,1,Plasma membrane,Vesicles,Approved
AAGAB,Q6PD74,1,"Nuclear speckles, Cytosol",,Supported
AAK1,Q2M2I8,1,"Vesicles, Plasma membrane",Cytosol,Approved
AAMDC,Q9H7C9,1,Nucleoplasm,Cytosol,Approved
AAMP,Q13685,1,Microtubules,Cytosol,Supported
AANAT,Q16613,1,Cytosol,,Supported
AAR2,Q9Y312,1,Cytosol,,Approved
AARD,Q4LEZ3,1,Lipid droplets,,Approved
AARS1,P49588,1,Cytosol,,Supported
AARS2,Q5JTZ9,1,Mitochondria,,Enhanced
AARSD1,Q9BTE6,1,"Nuclear membrane, Cytosol",,Approved
AASDH,Q4L235,1,,,
AASDHPPT,Q9NRN7,1,,,
AASS,Q9UDR5,1,Mitochondria,"Nucleoplasm, Vesicles",Approved
AATF,Q9NY61,1,Nucleoli,Nucleoplasm,Supported
AATK,Q6ZMQ8,1,Mitochondria,,Uncertain
ABAT,P80404,1,Mitochondria,,Supported
ABCA1,O95477,1,"Nucleoplasm, Vesicles",,Approved
ABCA10,Q8WWZ4,1,,,
ABCA12,Q86UK0,1,"Vesicles, Plasma membrane","Nucleoli, Cytosol",Approved
ABCA13,,0,Vesicles,"Centrosome, Cytosol",Approved
ABCA2,Q9BZC7,1,Vesicles,,Supported
ABCA3,Q99758,1,"Nucleoplasm, Cytosol",,Approved
ABCA4,P78363,1,Endoplasmic reticulum,,Supported
