symbol,accession,tagged,atm,ratio,n_pdb,pdb_present
ADAM17,P78536,2360,3207,1.359,31,1
AQP5,P55064,1307,1411,1.08,4,1
ATP2B2,Q01814,112,189,1.688,0,0
BTN3A3,O00478,64,64,1.0,9,1
CADM1,Q9BY67,478,686,1.435,2,1
CD276,Q5ZPR3,682,1156,1.695,3,1
CD3G,P09693,153,153,1.0,38,1
CD53,P19397,292,309,1.058,1,1
CD86,P42081,12462,14234,1.142,7,1
CDCP1,Q9H5V8,335,348,1.039,0,0
CDH11,P55287,329,561,1.705,0,0
CLCNKB,P51801,187,259,1.385,0,0
CLDN1,O95832,891,1599,1.795,0,0
CSF1R,P07333,2964,3076,1.038,26,1
CSPG5,O95196,27,47,1.741,0,0
CXCR5,P32302,2216,2368,1.069,0,0
EDNRB,P24530,794,877,1.105,18,1
EGFR,P00533,107015,153469,1.434,385,1
ENPP5,Q9UJA9,30,31,1.033,1,1
ENTPD1,P49961,289,507,1.754,0,0
EPHA4,P54764,753,846,1.124,17,1
ERBB2,P04626,11474,26515,2.311,63,1
FAM171A1,Q5VUB5,12,12,1.0,0,0
FAT2,Q9NYQ8,144,148,1.028,0,0
FGFR3,P22607,3947,4214,1.068,15,1
FLT1,P17948,2825,4274,1.513,12,1
FRRS1,Q6ZNA5,9,9,1.0,0,0
GPBAR1,Q8TDU6,336,823,2.449,5,1
GPC1,P35052,329,336,1.021,4,1
GPR143,P51810,171,230,1.345,0,0
GPR34,Q9UPC5,109,109,1.0,9,1
GPR65,Q8IYL9,151,206,1.364,2,1
GRIN1,Q05586,466,554,1.189,84,1
HEPACAM,Q14CZ8,86,106,1.233,1,1
IGF2R,P11717,1114,1131,1.015,24,1
INSR,P06213,1720,1968,1.144,87,1
ITGB5,P18084,227,238,1.048,3,1
JAG1,P78504,1465,2190,1.495,7,1
LRFN3,Q9BTN0,8,10,1.25,0,0
LRFN4,Q6PJG9,19,27,1.421,0,0
LRP6,O75581,1493,1612,1.08,27,1
LRRN1,Q6UXK5,45,56,1.244,0,0
LRRN4CL,Q8ND94,9,9,1.0,0,0
MCOLN1,Q9GZU1,242,435,1.798,25,1
MEP1A,Q16819,57,57,1.0,5,1
MERTK,Q12866,1365,1624,1.19,42,1
MMP14,P50281,1950,2435,1.249,12,1
MSLN,Q13421,518,1052,2.031,12,1
MUC16,Q8WXI7,896,1721,1.921,4,1
NCAM1,P13591,614,1364,2.221,7,1
NECTIN4,Q96NY8,684,724,1.058,5,1
NOTCH2,Q04721,2193,2399,1.094,2,1
OSMR,Q99650,393,424,1.079,0,0
PCDH7,O60245,151,162,1.073,1,1
PDGFRB,P09619,1461,6866,4.7,8,1
PODXL,O00592,263,883,3.357,0,0
PTPRZ1,P23471,192,361,1.88,6,1
SCN9A,Q15858,508,936,1.843,43,1
SCNN1A,P37088,226,352,1.558,3,1
SDK1,Q7Z5N4,75,76,1.013,0,0
SLC10A6,Q3KNW5,30,34,1.133,0,0
SLC12A4,Q9UP95,26,26,1.0,8,1
SLC12A9,Q9BXP2,22,28,1.273,0,0
SLC26A6,Q9BXS9,282,305,1.082,1,1
SLC2A9,Q9NRM0,358,518,1.447,6,1
SLC39A6,Q13433,63,106,1.683,0,0
SLC3A2,P08195,557,616,1.106,43,1
SLC44A3,Q8N4M1,12,12,1.0,0,0
SLC44A4,Q53GD3,56,77,1.375,0,0
SLC45A4,Q5BKX6,27,27,1.0,2,1
SLC52A3,Q9NQ40,110,152,1.382,1,1
SMO,Q99835,3748,4601,1.228,15,1
SORT1,Q99523,390,390,1.0,17,1
TLR3,O15455,6519,6789,1.041,20,1
TMEM108,Q6UXF1,15,15,1.0,0,0
TMEM30A,Q9NV96,62,94,1.516,33,1
TNFRSF10C,O14798,71,220,3.099,0,0
TSPAN15,O95858,51,52,1.02,3,1
TSPAN3,O60637,39,42,1.077,0,0
TSPAN9,O75954,46,47,1.022,0,0
UGT8,Q16880,97,111,1.144,0,0
UPK1B,O75841,56,100,1.786,0,0
