acc,gene,span_aa,n_domains,n_runs,largest_run,runs_over_context,regime
Q9P273,TENM3,2368,36,24,131,0,all_runs_in_context
P15941,MUC1,1135,49,2,960,0,all_runs_in_context
Q9ULB1,NRXN1,1371,9,8,226,0,all_runs_in_context
P23471,PTPRZ1,1612,2,2,265,0,all_runs_in_context
O75882,ATRN,1196,15,12,165,0,all_runs_in_context
Q9NYQ8,FAT2,4030,35,8,1674,1,one_oversized_run
P78504,JAG1,1034,17,15,110,0,all_runs_in_context
P23467,PTPRB,1599,17,6,362,0,all_runs_in_context
P12821,ACE,1227,2,2,585,0,all_runs_in_context
O75054,IGSF3,1105,8,8,149,0,all_runs_in_context
Q9UM47,NOTCH3,1604,37,32,117,0,all_runs_in_context
Q7RTW8,OTOA,1107,0,0,0,0,no_domains
A6NM11,LRRC37A2,1547,10,8,72,0,all_runs_in_context
P82279,CRB1,1322,22,20,251,0,all_runs_in_context
O94856,NFASC,1193,11,11,103,0,all_runs_in_context
Q13349,ITGAD,1082,8,5,183,0,all_runs_in_context
P10586,PTPRF,1234,11,10,204,0,all_runs_in_context
P56199,ITGA1,1113,8,6,260,0,all_runs_in_context
P20701,ITGAL,1065,8,4,226,0,all_runs_in_context
Q8WWQ8,STAB2,2439,27,18,167,0,all_runs_in_context
Q96PZ7,CSMD1,3461,42,28,596,0,all_runs_in_context
Q9UMZ3,PTPRQ,1912,18,16,166,0,all_runs_in_context
Q6N022,TENM4,2403,36,24,140,0,all_runs_in_context
Q7Z408,CSMD2,3408,40,28,475,0,all_runs_in_context
O75051,PLXNA2,1203,5,5,474,0,all_runs_in_context
O75581,LRP6,1351,27,10,222,0,all_runs_in_context
P78357,CNTNAP1,1264,8,6,256,0,all_runs_in_context
Q9HCM2,PLXNA4,1214,8,8,484,0,all_runs_in_context
Q9NZR2,LRP1B,4420,88,51,223,0,all_runs_in_context
Q92673,SORL1,2056,29,15,664,0,all_runs_in_context
Q8TEM1,NUP210,1782,1,1,74,0,single_run_only
Q9UHC6,CNTNAP2,1235,8,5,449,0,all_runs_in_context
Q13018,PLA2R1,1377,10,10,132,0,all_runs_in_context
Q04721,NOTCH2,1652,38,33,120,0,all_runs_in_context
O75096,LRP4,1705,31,14,214,0,all_runs_in_context
Q9NYQ7,CELSR3,2508,21,9,940,0,all_runs_in_context
Q16706,MAN2A1,1118,0,0,0,0,no_domains
Q9UIW2,PLXNA1,1218,5,5,486,0,all_runs_in_context
Q96QU1,PCDH15,1350,11,4,440,0,all_runs_in_context
P32004,L1CAM,1101,11,10,196,0,all_runs_in_context
O94779,CNTN5,1053,10,10,99,0,all_runs_in_context
Q96JQ0,DCHS1,2898,27,6,969,0,all_runs_in_context
O60469,DSCAM,1578,16,13,197,0,all_runs_in_context
Q685J3,MUC17,4368,61,14,824,0,all_runs_in_context
Q8WXI7,MUC16,14451,28,4,1977,1,one_oversized_run
O60449,LY75,1639,12,12,134,0,all_runs_in_context
Q9P2S2,NRXN2,1608,9,8,214,0,all_runs_in_context
P09848,LCT,1863,0,0,0,0,no_domains
O15031,PLXNB2,1178,4,4,447,0,all_runs_in_context
Q86XX4,FRAS1,3875,37,36,114,0,all_runs_in_context
Q9BZZ2,SIGLEC1,1622,17,17,117,0,all_runs_in_context
Q9H251,CDH23,3041,27,7,1175,1,one_oversized_run
Q14517,FAT1,4160,39,9,2289,1,one_oversized_run
Q9BZ76,CNTNAP3,1220,8,6,408,0,all_runs_in_context
Q99466,NOTCH4,1424,32,25,165,0,all_runs_in_context
O75578,ITGA10,1100,8,7,184,0,all_runs_in_context
A6NMS7,LRRC37A,1547,5,5,22,0,all_runs_in_context
P46531,NOTCH1,1717,39,34,123,0,all_runs_in_context
Q9Y493,ZAN,2740,16,12,295,0,all_runs_in_context
Q6MZM0,HEPHL1,1090,6,6,183,0,all_runs_in_context
O75445,USH2A,5011,47,21,782,0,all_runs_in_context
Q9UKX5,ITGA11,1119,8,6,182,0,all_runs_in_context
Q9Y4C0,NRXN3,1541,9,8,208,0,all_runs_in_context
