census_accession,census_class,census_identity_status,source_identifiers,fetch_failed,fetch_error,fetched_on,uniprot_release,span_aa_v1,span_aa,span_rule,span_category,no_span_reason,span_boundary_coordinate,terms_unruled,terms_held,parsed_under
P14060,non_surface,active,3BHS1_HUMAN,false,,2026-08-06,2007-01-23,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P26439,non_surface,active,3BHS2_HUMAN,false,,2026-08-06,2007-01-23,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9H2F3,non_surface,active,3BHS7_HUMAN,false,,2026-08-06,2004-05-24,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P56378,non_surface,active,68MP_HUMAN,false,,2026-08-06,1998-07-15,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9NPC4,non_surface,active,A4GAT_HUMAN,false,,2026-08-06,2000-10-01,,310,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9UNA3,non_surface,active,A4GCT_HUMAN,false,,2026-08-06,2000-05-01,,315,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
P0DMS9,non_surface,merged,AA3RB_HUMAN,false,,2026-08-06,2015-04-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P22760,non_surface,active,AAAD_HUMAN,false,,2026-08-06,2011-01-11,,376,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q86V21,non_surface,active,AACS_HUMAN,false,,2026-08-06,2003-06-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
O75027,non_surface,active,ABCB7_HUMAN,false,,2026-08-06,2000-12-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9NUT2,non_surface,active,ABCB8_HUMAN,false,,2026-08-06,2007-04-03,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9NRK6,non_surface,active,ABCBA_HUMAN,false,,2026-08-06,2007-04-03,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9NSE7,non_surface,inactive,ABCCD_HUMAN,false,,,,,,,,not fetched: uniprot_inactive,,,,
P33897,non_surface,active,ABCD1_HUMAN,false,,2026-08-06,2005-06-07,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9UBJ2,non_surface,active,ABCD2_HUMAN,false,,2026-08-06,2000-05-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P28288,non_surface,active,ABCD3_HUMAN,false,,2026-08-06,1992-12-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
O14678,non_surface,active,ABCD4_HUMAN,false,,2026-08-06,1998-01-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P45844,non_surface,active,ABCG1_HUMAN,false,,2026-08-06,2001-12-05,63,63,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8N2K0,non_surface,active,ABD12_HUMAN,false,,2026-08-06,2003-11-28,303,303,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96SE0,non_surface,active,ABHD1_HUMAN,false,,2026-08-06,2024-01-24,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P08910,non_surface,active,ABHD2_HUMAN,false,,2026-08-06,1988-11-01,395,395,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8WU67,non_surface,active,ABHD3_HUMAN,false,,2026-08-06,2007-03-20,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9BV23,non_surface,active,ABHD6_HUMAN,false,,2026-08-06,2001-06-01,8,8,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q7L211,non_surface,active,ABHDD_HUMAN,false,,2026-08-06,2004-10-11,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9BUJ0,non_surface,active,ABHEA_HUMAN,false,,2026-08-06,2007-04-03,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
