census_accession,gene,tile_index,start,end,length,tile_cut_kind,merge_rule,straddle_handling,gap_tolerance,protein_regime,route,tile_max_aa,route_at,ruling,trained_context,f059_peak_gib,requirement_mib,requirement_source,preflight_outcome,preflight_why,preflight_free_mib,preflight_required_mib,preflight_margin_mib,peak_allocated_mib,peak_reserved_mib,pct_depart_f059,wall_s,folded,stop_reason,folded_at,gpu_name,nvidia_driver_version,vram_total_mib
O75445,USH2A,17,3774,4153,380,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,6.181775,6357,hard_envelope_6357,fits,6357 + 0 margin <= 7043 MiB free,7043,6357,0,6336,6900,0.000926,61.67,yes,,2026-09-01T03:06:27.831593+00:00,NVIDIA RTX PRO 2000 Blackwell Generation Laptop GPU,610.88,8150
O75445,USH2A,18,4157,4530,374,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,6.152516,6357,hard_envelope_6357,fits,6357 + 0 margin <= 7043 MiB free,7043,6357,0,6308,6870,0.001242,62.07,yes,,2026-09-01T03:07:32.116282+00:00,NVIDIA RTX PRO 2000 Blackwell Generation Laptop GPU,610.88,8150
P23467,PTPRB,4,1087,1448,362,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,6.095373,6357,hard_envelope_6357,fits,6357 + 0 margin <= 7043 MiB free,7043,6357,0,6246,6702,0.000695,59.28,yes,,2026-09-01T03:08:33.669993+00:00,NVIDIA RTX PRO 2000 Blackwell Generation Laptop GPU,610.88,8150
Q07954,LRP1,22,3290,3649,360,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,6.086027,6239,climb_exact_L,fits,6239 + 0 margin <= 7043 MiB free,7043,6239,0,6239,6692,0.001109,58.83,yes,,2026-09-01T03:09:34.769920+00:00,NVIDIA RTX PRO 2000 Blackwell Generation Laptop GPU,610.88,8150
P23467,PTPRB,2,556,906,351,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,6.044601,6357,hard_envelope_6357,fits,6357 + 0 margin <= 7043 MiB free,7043,6357,0,6195,6898,0.000861,57.0,yes,,2026-09-01T03:10:33.996368+00:00,NVIDIA RTX PRO 2000 Blackwell Generation Laptop GPU,610.88,8150
P20702,ITGAX,1,165,504,340,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.995369,6357,hard_envelope_6357,fits,6357 + 0 margin <= 7043 MiB free,7043,6357,0,6143,6798,0.00061,53.94,yes,,2026-09-01T03:11:30.200763+00:00,NVIDIA RTX PRO 2000 Blackwell Generation Laptop GPU,610.88,8150
Q6P1J6,PLB1,2,1064,1402,339,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.99097,6357,hard_envelope_6357,fits,6357 + 0 margin <= 7043 MiB free,7043,6357,0,6139,6748,0.000692,54.37,yes,,2026-09-01T03:12:26.871135+00:00,NVIDIA RTX PRO 2000 Blackwell Generation Laptop GPU,610.88,8150
Q8TDW7,FAT3,0,44,375,332,whole_run,abutting_or_overlapping,drop,0,one_oversized_run,local,1026,440,D-104,1026,5.960532,6357,hard_envelope_6357,fits,6357 + 0 margin <= 7043 MiB free,7043,6357,0,6109,6686,0.000887,52.21,yes,,2026-09-01T03:13:21.332737+00:00,NVIDIA RTX PRO 2000 Blackwell Generation Laptop GPU,610.88,8150
Q9BYE9,CDHR2,0,27,353,327,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.939173,6357,hard_envelope_6357,fits,6357 + 0 margin <= 7043 MiB free,7043,6357,0,6086,6654,0.000705,51.48,yes,,2026-09-01T03:14:15.072737+00:00,NVIDIA RTX PRO 2000 Blackwell Generation Laptop GPU,610.88,8150
O75976,CPD,0,57,380,324,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.92651,6357,hard_envelope_6357,fits,6357 + 0 margin <= 7043 MiB free,7043,6357,0,6076,6626,0.001195,50.7,yes,,2026-09-01T03:15:08.048590+00:00,NVIDIA RTX PRO 2000 Blackwell Generation Laptop GPU,610.88,8150
