census_accession,span_aa,span_start,span_end,source,n_domain_chain,n_repeat_chain,n_domainlike_chain,n_domains_wholly_inside_the_V2_span,n_domains_straddling_the_span_boundary,n_domains_wholly_outside_the_span,n_unknown_coordinates,residues_in_domains,residues_in_span_not_in_any_domain,buckets_sum_ok,fetched_on,source_release,status
Q9P273,2368,332,2699,interpro,16,2,18,17,0,1,0,1868,500,True,2026-08-17,109.0,ok
P15941,1135,24,1158,interpro,1,0,1,1,0,0,0,119,1016,True,2026-08-17,109.0,ok
Q9ULB1,1371,31,1401,interpro,11,0,11,8,1,2,0,1206,165,True,2026-08-17,109.0,ok
P23471,1612,25,1636,interpro,9,0,9,3,0,6,0,367,1245,True,2026-08-17,109.0,ok
O75882,1196,84,1279,interpro,16,2,18,18,0,0,0,1075,121,True,2026-08-17,109.0,ok
Q9NYQ8,4030,19,4048,interpro,37,0,37,37,0,0,0,3674,356,True,2026-08-17,109.0,ok
P78504,1034,34,1067,interpro,34,0,34,33,1,0,0,975,59,True,2026-08-17,109.0,ok
P23467,1599,23,1621,interpro,20,0,20,16,1,3,0,1544,55,True,2026-08-17,109.0,ok
P12821,1227,30,1256,interpro,0,0,0,0,0,0,0,0,1227,True,2026-08-17,109.0,ok
O75054,1105,20,1124,interpro,26,0,26,25,1,0,0,1074,31,True,2026-08-17,109.0,ok
Q9UM47,1604,40,1643,interpro,75,3,78,73,1,4,0,1539,65,True,2026-08-17,109.0,ok
Q7RTW8,1107,23,1129,interpro,1,0,1,1,0,0,0,124,983,True,2026-08-17,109.0,ok
A6NM11,1547,36,1582,interpro,6,5,11,10,1,0,0,533,1014,True,2026-08-17,109.0,ok
P82279,1322,26,1347,interpro,37,0,37,37,0,0,0,1251,71,True,2026-08-17,109.0,ok
O94856,1193,25,1217,interpro,29,0,29,28,0,1,0,1042,151,True,2026-08-17,109.0,ok
Q13349,1082,18,1099,interpro,4,7,11,11,0,0,0,993,89,True,2026-08-17,109.0,ok
P10586,1234,30,1263,interpro,26,0,26,20,0,6,0,1032,202,True,2026-08-17,109.0,ok
P56199,1113,29,1141,interpro,4,6,10,10,0,0,0,925,188,True,2026-08-17,109.0,ok
P20701,1065,26,1090,interpro,3,7,10,10,0,0,0,792,273,True,2026-08-17,109.0,ok
Q8WWQ8,2439,20,2458,interpro,56,0,56,56,0,0,0,1980,459,True,2026-08-17,109.0,ok
Q96PZ7,3461,27,3487,interpro,42,0,42,42,0,0,0,3219,242,True,2026-08-17,109.0,ok
Q9UMZ3,1912,36,1947,interpro,20,0,20,16,1,3,0,1709,203,True,2026-08-17,109.0,ok
Q6N022,2403,367,2769,interpro,16,2,18,17,0,1,0,1877,526,True,2026-08-17,109.0,ok
Q7Z408,3408,1,3408,interpro,40,0,40,40,0,0,0,3097,311,True,2026-08-17,109.0,ok
O75051,1203,35,1237,interpro,13,2,15,12,1,2,0,1192,11,True,2026-08-17,109.0,ok
O75581,1351,20,1370,interpro,4,9,13,13,0,0,0,1155,196,True,2026-08-17,109.0,ok
P78357,1264,20,1283,interpro,9,0,9,8,0,1,0,1008,256,True,2026-08-17,109.0,ok
Q9HCM2,1214,24,1237,interpro,12,2,14,11,1,2,0,1193,21,True,2026-08-17,109.0,ok
Q9NZR2,4420,25,4444,interpro,34,48,82,82,0,0,0,3724,696,True,2026-08-17,109.0,ok
Q92673,2056,82,2137,interpro,10,11,21,21,0,0,0,1867,189,True,2026-08-17,109.0,ok
Q8TEM1,1782,27,1808,interpro,12,0,12,11,1,0,0,1161,621,True,2026-08-17,109.0,ok
Q9UHC6,1235,28,1262,interpro,9,0,9,8,0,1,0,995,240,True,2026-08-17,109.0,ok
Q13018,1377,21,1397,interpro,10,0,10,10,0,0,0,1215,162,True,2026-08-17,109.0,ok
