accession,gene,n_spans,largest_span_aa,total_ecd_aa,n_pdb,cov_total_aa,cov_total_pct,cov_largest_aa,cov_largest_pct,best_pdb,best_pdb_cov_aa,best_pdb_method,best_pdb_res,has_alphafold,has_smr
P78536,ADAM17,1,457,457,31,457,100.0,457,100.0,8SNL,457,EM,2.78 A,True,True
P55064,AQP5,4,18,37,4,37,100.0,18,100.0,3D9S,37,X-ray,2.00 A,True,True
Q01814,ATP2B2,5,37,108,0,0,0.0,0,0.0,,0,,,True,True
O00478,BTN3A3,1,219,219,9,219,100.0,219,100.0,8ZJY,219,EM,3.70 A,True,True
Q9BY67,CADM1,1,330,330,2,100,30.3,100,30.3,4H5S,100,X-ray,1.70 A,True,True
Q5ZPR3,CD276,1,438,438,3,433,98.9,433,98.9,9LY5,433,EM,2.98 A,True,True
P09693,CD3G,1,94,94,38,94,100.0,94,100.0,6JXR,94,EM,3.70 A,True,True
P19397,CD53,2,75,97,1,97,100.0,75,100.0,6WVG,97,X-ray,2.90 A,True,True
P42081,CD86,1,224,224,7,218,97.3,218,97.3,8FXY,218,EM,3.34 A,True,True
Q9H5V8,CDCP1,1,638,638,0,0,0.0,0,0.0,,0,,,True,False
P55287,CDH11,1,564,564,0,0,0.0,0,0.0,,0,,,True,True
P51801,CLCNKB,0,0,0,0,0,0.0,0,0.0,,0,,,True,True
O95832,CLDN1,2,53,80,0,0,0.0,0,0.0,,0,,,True,True
P07333,CSF1R,1,498,498,26,493,99.0,493,99.0,4LIQ,493,X-ray,2.60 A,True,True
O95196,CSPG5,1,393,393,0,0,0.0,0,0.0,,0,,,True,False
P32302,CXCR5,4,55,125,0,0,0.0,0,0.0,,0,,,True,True
P24530,EDNRB,4,75,127,18,127,100.0,75,100.0,8HBD,127,EM,2.99 A,True,True
P00533,EGFR,1,621,621,385,621,100.0,621,100.0,1IVO,621,X-ray,3.30 A,True,True
Q9UJA9,ENPP5,0,0,0,1,0,0.0,0,0.0,5VEM,0,X-ray,2.60 A,True,True
P49961,ENTPD1,1,441,441,0,0,0.0,0,0.0,,0,,,True,True
P54764,EPHA4,1,528,528,17,528,100.0,528,100.0,4BK4,528,X-ray,3.65 A,True,True
P04626,ERBB2,1,630,630,63,630,100.0,630,100.0,5KWG,630,X-ray,4.30 A,True,True
Q5VUB5,FAM171A1,1,282,282,0,0,0.0,0,0.0,,0,,,True,False
Q9NYQ8,FAT2,1,4030,4030,0,0,0.0,0,0.0,,0,,,False,True
P22607,FGFR3,1,353,353,15,343,97.2,343,97.2,1RY7,333,X-ray,3.20 A,True,True
P17948,FLT1,1,732,732,12,630,86.1,630,86.1,5T89,630,X-ray,4.00 A,True,True
Q6ZNA5,FRRS1,0,0,0,0,0,0.0,0,0.0,,0,,,True,True
Q8TDU6,GPBAR1,4,21,62,5,62,100.0,21,100.0,7CFM,62,EM,3.00 A,True,True
P35052,GPC1,0,0,0,4,0,0.0,0,0.0,4ACR,0,X-ray,2.55 A,True,True
P51810,GPR143,4,28,97,0,0,0.0,0,0.0,,0,,,True,True
Q9UPC5,GPR34,4,61,124,9,124,100.0,61,100.0,8IYX,124,EM,3.34 A,True,True
Q8IYL9,GPR65,4,21,43,2,43,100.0,21,100.0,9BHL,43,EM,2.80 A,True,True
Q05586,GRIN1,2,541,704,84,704,100.0,541,100.0,10EY,704,EM,4.10 A,True,True
Q14CZ8,HEPACAM,1,207,207,1,0,0.0,0,0.0,7UQC,0,X-ray,2.65 A,True,True
P11717,IGF2R,0,0,0,24,0,0.0,0,0.0,1E6F,0,X-ray,1.75 A,True,True
P06213,INSR,2,731,925,87,925,100.0,731,100.0,4ZXB,925,X-ray,3.30 A,True,True
P18084,ITGB5,1,696,696,3,0,0.0,0,0.0,7S46,0,X-ray,2.10 A,True,True
P78504,JAG1,1,1034,1034,7,302,29.2,302,29.2,4CBZ,302,X-ray,2.50 A,True,True
Q9BTN0,LRFN3,1,523,523,0,0,0.0,0,0.0,,0,,,True,True
