census_accession,span_aa,span_start,span_end,source,n_domain_chain,n_repeat_chain,n_domainlike_chain,n_domains_wholly_inside_the_V2_span,n_domains_straddling_the_span_boundary,n_domains_wholly_outside_the_span,n_unknown_coordinates,residues_in_domains,residues_in_span_not_in_any_domain,buckets_sum_ok,fetched_on,source_release,status
Q9P273,2368,332,2699,uniprot,9,28,37,36,0,1,0,956,1412,True,cache,181,ok
P15941,1135,24,1158,uniprot,1,48,49,49,0,0,0,1070,65,True,cache,250,ok
Q9ULB1,1371,31,1401,uniprot,9,0,9,9,0,0,0,1205,166,True,cache,227,ok
P23471,1612,25,1636,uniprot,4,0,4,2,0,2,0,365,1247,True,cache,241,ok
O75882,1196,84,1279,uniprot,9,6,15,15,0,0,0,885,311,True,cache,224,ok
Q9NYQ8,4030,19,4048,uniprot,35,0,35,35,0,0,0,3605,425,True,cache,210,ok
P78504,1034,34,1067,uniprot,17,0,17,17,0,0,0,634,400,True,cache,242,ok
P23467,1599,23,1621,uniprot,18,0,18,17,0,1,0,1513,86,True,cache,223,ok
P12821,1227,30,1256,uniprot,2,0,2,2,0,0,0,1165,62,True,cache,270,ok
O75054,1105,20,1124,uniprot,8,0,8,8,0,0,0,1016,89,True,cache,179,ok
Q9UM47,1604,40,1643,uniprot,34,8,42,37,0,5,0,1406,198,True,cache,236,ok
Q7RTW8,1107,23,1129,uniprot,0,0,0,0,0,0,0,0,1107,True,cache,170,ok
A6NM11,1547,36,1582,uniprot,0,10,10,10,0,0,0,241,1306,True,cache,127,ok
P82279,1322,26,1347,uniprot,22,0,22,22,0,0,0,1276,46,True,cache,226,ok
O94856,1193,25,1217,uniprot,11,0,11,11,0,0,0,1017,176,True,cache,209,ok
Q13349,1082,18,1099,uniprot,1,7,8,8,0,0,0,586,496,True,cache,205,ok
P10586,1234,30,1263,uniprot,13,0,13,11,0,2,0,1021,213,True,cache,259,ok
P56199,1113,29,1141,uniprot,1,7,8,8,0,0,0,612,501,True,cache,222,ok
P20701,1065,26,1090,uniprot,1,7,8,8,0,0,0,570,495,True,cache,243,ok
Q8WWQ8,2439,20,2458,uniprot,27,0,27,27,0,0,0,1861,578,True,cache,197,ok
