census_accession,source_identifiers,source_accessions,census_class,census_identity_status,fetch_eligible,fetch_ineligible_reason,parent_sha256,resolved_on
P04439,1A01_HUMAN|1A02_HUMAN|1A03_HUMAN|1A11_HUMAN|1A23_HUMAN|1A24_HUMAN|1A25_HUMAN|1A26_HUMAN|1A29_HUMAN|1A30_HUMAN|1A31_HUMAN|1A32_HUMAN|1A33_HUMAN|1A34_HUMAN|1A36_HUMAN|1A43_HUMAN|1A66_HUMAN|1A68_HUMAN|1A69_HUMAN|1A74_HUMAN|1A80_HUMAN,P30443|P01892|P04439|P13746|P30447|P05534|P18462|P30450|P30512|P16188|P16189|P10314|P16190|P30453|P30455|P30456|P30457|P01891|P10316|P30459|Q09160,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P01889,1B07_HUMAN|1B08_HUMAN|1B13_HUMAN|1B14_HUMAN|1B15_HUMAN|1B18_HUMAN|1B27_HUMAN|1B35_HUMAN|1B37_HUMAN|1B38_HUMAN|1B39_HUMAN|1B40_HUMAN|1B41_HUMAN|1B42_HUMAN|1B44_HUMAN|1B45_HUMAN|1B46_HUMAN|1B47_HUMAN|1B48_HUMAN|1B49_HUMAN|1B50_HUMAN|1B51_HUMAN|1B52_HUMAN|1B53_HUMAN|1B54_HUMAN|1B55_HUMAN|1B56_HUMAN|1B57_HUMAN|1B58_HUMAN|1B59_HUMAN|1B67_HUMAN|1B73_HUMAN|1B78_HUMAN|1B81_HUMAN|1B82_HUMAN,P01889|P30460|P30461|P30462|P30464|P30466|P03989|P30685|P18463|Q95365|P30475|Q04826|P30479|P30480|P30481|P30483|P30484|P30485|P30486|P30487|P30488|P18464|P30490|P30491|P30492|P30493|P30495|P18465|P10319|Q29940|Q29836|Q31612|P30498|Q31610|Q29718,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P10321,1C01_HUMAN|1C02_HUMAN|1C03_HUMAN|1C04_HUMAN|1C05_HUMAN|1C06_HUMAN|1C07_HUMAN|1C08_HUMAN|1C12_HUMAN|1C14_HUMAN|1C15_HUMAN|1C16_HUMAN|1C17_HUMAN|1C18_HUMAN,P30499|P30501|P04222|P30504|Q9TNN7|Q29963|P10321|P30505|P30508|P30510|Q07000|Q29960|Q95604|Q29865,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P01911,2B11_HUMAN|2B13_HUMAN|2B14_HUMAN|2B17_HUMAN|2B18_HUMAN|2B19_HUMAN|2B1A_HUMAN|2B1B_HUMAN|2B1C_HUMAN|2B1D_HUMAN|2B1E_HUMAN|2B1F_HUMAN|2B1G_HUMAN,P04229|P01912|P13760|P13761|Q30134|Q9TQE0|Q30167|P20039|Q95IE3|Q5Y7A7|Q9GIY3|P01911|Q29974,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P14060,3BHS1_HUMAN,P14060,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P26439,3BHS2_HUMAN,P26439,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q9H2F3,3BHS7_HUMAN,Q9H2F3,non_surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P08195,4F2_HUMAN,P08195,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P08908,5HT1A_HUMAN,P08908,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P28222,5HT1B_HUMAN,P28222,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P28221,5HT1D_HUMAN,P28221,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P28566,5HT1E_HUMAN,P28566,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P30939,5HT1F_HUMAN,P30939,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P28223,5HT2A_HUMAN,P28223,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P41595,5HT2B_HUMAN,P41595,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P28335,5HT2C_HUMAN,P28335,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
P46098,5HT3A_HUMAN,P46098,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
O95264,5HT3B_HUMAN,O95264,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q8WXA8,5HT3C_HUMAN,Q8WXA8,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q70Z44,5HT3D_HUMAN,Q70Z44,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
A5X5Y0,5HT3E_HUMAN,A5X5Y0,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
Q13639,5HT4R_HUMAN,Q13639,surface,active,true,,e22d7643ea01abd0dce415e74faf002186e13ae33190976f1ae61cece045fb76,2026-08-06
