census_accession,census_class,span_aa,span_rule,band,tier,tier_reason,dtype,chunk_size,fold_order,span_definition,guards
P51679,surface,39,vocabulary,local,local,,int8,64,1,v2-ruled-vocabulary-2026-08-07,
P05362,surface,453,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,2,v2-ruled-vocabulary-2026-08-07,
Q14517,surface,4160,vocabulary,above_local,rental,over_local_ceiling,fp16,64,3,v2-ruled-vocabulary-2026-08-07,
Q5BIV9,surface,101,gpi_rule_A,local,local,,int8,64,4,v2-ruled-vocabulary-2026-08-07,
Q9Y5F0,surface,662,vocabulary,above_local,rental,over_local_ceiling,fp16,64,5,v2-ruled-vocabulary-2026-08-07,
Q9Y4A9,surface,37,vocabulary,local,local,,int8,64,6,v2-ruled-vocabulary-2026-08-07,
Q96P31,surface,556,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,7,v2-ruled-vocabulary-2026-08-07,
Q8NEW7,non_surface,30,vocabulary,local,local,,int8,64,8,v2-ruled-vocabulary-2026-08-07,
Q8N6F1,surface,53,vocabulary,local,local,,int8,64,9,v2-ruled-vocabulary-2026-08-07,
O75121,surface,121,vocabulary,local,local,,int8,64,10,v2-ruled-vocabulary-2026-08-07,
Q9NZH0,surface,28,vocabulary,local,local,,int8,64,11,v2-ruled-vocabulary-2026-08-07,
Q70Z44,surface,208,vocabulary,local,local,,int8,64,12,v2-ruled-vocabulary-2026-08-07,
Q8TEB9,non_surface,64,vocabulary,local,local,,int8,64,13,v2-ruled-vocabulary-2026-08-07,
Q8TDS7,surface,24,vocabulary,local,local,,int8,64,14,v2-ruled-vocabulary-2026-08-07,
Q16280,non_surface,23,vocabulary,local,local,,int8,64,15,v2-ruled-vocabulary-2026-08-07,
P32970,surface,155,vocabulary,local,local,,int8,64,16,v2-ruled-vocabulary-2026-08-07,
Q96FV3,surface,119,vocabulary,local,local,,int8,64,17,v2-ruled-vocabulary-2026-08-07,
Q9Y3P8,surface,16,vocabulary,local,local,,int8,64,18,v2-ruled-vocabulary-2026-08-07,
Q02763,surface,726,vocabulary,above_local,rental,over_local_ceiling,fp16,64,19,v2-ruled-vocabulary-2026-08-07,
P32745,surface,43,vocabulary,local,local,,int8,64,20,v2-ruled-vocabulary-2026-08-07,
Q12908,surface,39,vocabulary,local,local,,int8,64,21,v2-ruled-vocabulary-2026-08-07,
O14917,surface,690,vocabulary,above_local,rental,over_local_ceiling,fp16,64,22,v2-ruled-vocabulary-2026-08-07,
Q5VUY2,non_surface,382,vocabulary,local,local,,int8,64,23,v2-ruled-vocabulary-2026-08-07,
Q8N387,surface,213,vocabulary,local,local,,int8,64,24,v2-ruled-vocabulary-2026-08-07,
Q13003,surface,532,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,25,v2-ruled-vocabulary-2026-08-07,
Q8NBN3,surface,204,vocabulary,local,local,,int8,64,26,v2-ruled-vocabulary-2026-08-07,
Q99726,non_surface,11,vocabulary,local,local,,int8,64,27,v2-ruled-vocabulary-2026-08-07,
P43003,surface,91,vocabulary,local,local,,int8,64,28,v2-ruled-vocabulary-2026-08-07,
Q9NZ43,non_surface,7,vocabulary,local,local,,int8,64,29,v2-ruled-vocabulary-2026-08-07,
Q86WA9,non_surface,144,vocabulary,local,local,,int8,64,30,v2-ruled-vocabulary-2026-08-07,
P15941,surface,1135,vocabulary,above_local,rental,over_local_ceiling,fp16,64,31,v2-ruled-vocabulary-2026-08-07,
Q04721,surface,1652,vocabulary,above_local,rental,over_local_ceiling,fp16,64,32,v2-ruled-vocabulary-2026-08-07,
P55283,surface,565,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,33,v2-ruled-vocabulary-2026-08-07,
Q9UNX9,non_surface,23,vocabulary,local,local,,int8,64,34,v2-ruled-vocabulary-2026-08-07,
Q9Y5I4,surface,666,vocabulary,above_local,rental,over_local_ceiling,fp16,64,35,v2-ruled-vocabulary-2026-08-07,
Q9BQS2,non_surface,4,vocabulary,local,local,,int8,64,36,v2-ruled-vocabulary-2026-08-07,
A4D0T7,non_surface,5,vocabulary,local,local,,int8,64,37,v2-ruled-vocabulary-2026-08-07,
P34969,surface,83,vocabulary,local,local,,int8,64,38,v2-ruled-vocabulary-2026-08-07,
O75954,surface,97,vocabulary,local,local,,int8,64,39,v2-ruled-vocabulary-2026-08-07,
Q9H339,surface,36,vocabulary,local,local,,int8,64,40,v2-ruled-vocabulary-2026-08-07,
