UniProt Name,UniProt Accession,UniProt gene,Ensembl Gene,CD,CSPA category,main functional class,Surfy,Surfy Score,surfy_class,uniprot_status,uniprot_current_accession,uniprot_current_entry_name,uniprot_primary_gene,gene_symbol_changed,foldable,class_conflict
1A01_HUMAN,P30443,HLA-A,ENSG00000229215;ENSG00000224320,,NA,Miscellaneous,surface,0.8603,surface,merged,P04439,HLAA_HUMAN,HLA-A,no,yes,no
1A02_HUMAN,P01892,HLA-A,ENSG00000235657;ENSG00000227715,,1,Miscellaneous,surface,0.7186,surface,merged,P04439,HLAA_HUMAN,HLA-A,no,yes,no
1A03_HUMAN,P04439,HLA-A,ENSG00000206503,,NA,Miscellaneous,surface,0.8623,surface,active_reviewed,P04439,HLAA_HUMAN,HLA-A,no,yes,no
1A11_HUMAN,P13746,HLA-A,ENSG00000206503,,NA,Miscellaneous,surface,0.8623,surface,merged,P04439,HLAA_HUMAN,HLA-A,no,yes,no
1A23_HUMAN,P30447,HLA-A,ENSG00000223980,,NA,Miscellaneous,surface,0.7605,surface,merged,P04439,HLAA_HUMAN,HLA-A,no,yes,no
1A24_HUMAN,P05534,HLA-A,ENSG00000229215;ENSG00000224320,,NA,Miscellaneous,surface,0.7685,surface,merged,P04439,HLAA_HUMAN,HLA-A,no,yes,no
1A25_HUMAN,P18462,HLA-A,ENSG00000206505,,1,Miscellaneous,surface,0.7745,surface,merged,P04439,HLAA_HUMAN,HLA-A,no,yes,no
1A26_HUMAN,P30450,HLA-A,ENSG00000206505,,NA,Miscellaneous,surface,0.7904,surface,merged,P04439,HLAA_HUMAN,HLA-A,no,yes,no
1A29_HUMAN,P30512,HLA-A,ENSG00000231834,,1,Miscellaneous,surface,0.7605,surface,merged,P04439,HLAA_HUMAN,HLA-A,no,yes,no
1A30_HUMAN,P16188,HLA-A,ENSG00000206503,,NA,Miscellaneous,surface,0.8683,surface,merged,P04439,HLAA_HUMAN,HLA-A,no,yes,no
1A31_HUMAN,P16189,HLA-A,ENSG00000231834,,NA,Miscellaneous,surface,0.7385,surface,merged,P04439,HLAA_HUMAN,HLA-A,no,yes,no
1A32_HUMAN,P10314,HLA-A,ENSG00000223980,,NA,Miscellaneous,surface,0.7365,surface,merged,P04439,HLAA_HUMAN,HLA-A,no,yes,no
1A33_HUMAN,P16190,HLA-A,ENSG00000231834,,NA,Miscellaneous,surface,0.7645,surface,merged,P04439,HLAA_HUMAN,HLA-A,no,yes,no
1A34_HUMAN,P30453,HLA-A,ENSG00000206505,,NA,Miscellaneous,surface,0.7565,surface,merged,P04439,HLAA_HUMAN,HLA-A,no,yes,no
1A36_HUMAN,P30455,HLA-A,ENSG00000229215;ENSG00000224320,,NA,Miscellaneous,surface,0.8643,surface,merged,P04439,HLAA_HUMAN,HLA-A,no,yes,no
1A43_HUMAN,P30456,HLA-A,ENSG00000206505,,NA,Miscellaneous,surface,0.7784,surface,merged,P04439,HLAA_HUMAN,HLA-A,no,yes,no
1A66_HUMAN,P30457,HLA-A,ENSG00000206505,,NA,Miscellaneous,surface,0.7745,surface,merged,P04439,HLAA_HUMAN,HLA-A,no,yes,no
1A68_HUMAN,P01891,HLA-A,ENSG00000235657,,NA,Miscellaneous,surface,0.7545,surface,merged,P04439,HLAA_HUMAN,HLA-A,no,yes,no
1A69_HUMAN,P10316,HLA-A,ENSG00000235657,,NA,Miscellaneous,surface,0.7605,surface,merged,P04439,HLAA_HUMAN,HLA-A,no,yes,no
1A74_HUMAN,P30459,HLA-A,ENSG00000223980,,1,Miscellaneous,surface,0.7405,surface,merged,P04439,HLAA_HUMAN,HLA-A,no,yes,no
1A80_HUMAN,Q09160,HLA-A,ENSG00000229215;ENSG00000224320,,1,Miscellaneous,surface,0.8802,surface,merged,P04439,HLAA_HUMAN,HLA-A,no,yes,no
1B07_HUMAN,P01889,HLA-B,ENSG00000234745,,NA,Miscellaneous,surface,0.8383,surface,active_reviewed,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B08_HUMAN,P30460,HLA-B,ENSG00000223532,,NA,Miscellaneous,surface,0.8543,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B13_HUMAN,P30461,HLA-B,ENSG00000224608,,NA,Miscellaneous,surface,0.7864,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B14_HUMAN,P30462,HLA-B,ENSG00000223532,,1,Miscellaneous,surface,0.8663,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B15_HUMAN,P30464,HLA-B,ENSG00000232126,,NA,Miscellaneous,surface,0.7884,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B18_HUMAN,P30466,HLA-B,ENSG00000206450,,NA,Miscellaneous,surface,0.7964,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B27_HUMAN,P03989,HLA-B,ENSG00000224608,,1,Miscellaneous,surface,0.7585,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B35_HUMAN,P30685,HLA-B,ENSG00000206450,,NA,Miscellaneous,surface,0.7904,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B37_HUMAN,P18463,HLA-B,ENSG00000206450,,NA,Miscellaneous,surface,0.7844,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B38_HUMAN,Q95365,HLA-B,ENSG00000223532,,NA,Miscellaneous,surface,0.7984,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B39_HUMAN,P30475,HLA-B,ENSG00000223532,,NA,Miscellaneous,surface,0.8663,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B40_HUMAN,Q04826,HLA-B,ENSG00000206450,,NA,Miscellaneous,surface,0.7924,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B41_HUMAN,P30479,HLA-B,ENSG00000223532,,1,Miscellaneous,surface,0.7864,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B42_HUMAN,P30480,HLA-B,ENSG00000234745,,NA,Miscellaneous,surface,0.7864,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B44_HUMAN,P30481,HLA-B,ENSG00000228964,,1,Miscellaneous,surface,0.7745,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B45_HUMAN,P30483,HLA-B,ENSG00000232126,,NA,Miscellaneous,surface,0.7984,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B46_HUMAN,P30484,HLA-B,ENSG00000232126,,NA,Miscellaneous,surface,0.7685,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B47_HUMAN,P30485,HLA-B,ENSG00000224608,,1,Miscellaneous,surface,0.7505,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B48_HUMAN,P30486,HLA-B,ENSG00000234745,,NA,Miscellaneous,surface,0.7884,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B49_HUMAN,P30487,HLA-B,ENSG00000224608,,1,Miscellaneous,surface,0.7804,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B50_HUMAN,P30488,HLA-B,ENSG00000232126,,NA,Miscellaneous,surface,0.7824,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B51_HUMAN,P18464,HLA-B,ENSG00000206450,,NA,Miscellaneous,surface,0.7784,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B52_HUMAN,P30490,HLA-B,ENSG00000232126,,NA,Miscellaneous,surface,0.7864,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B53_HUMAN,P30491,HLA-B,ENSG00000206450,,NA,Miscellaneous,surface,0.7864,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B54_HUMAN,P30492,HLA-B,ENSG00000206450,,NA,Miscellaneous,surface,0.7904,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B55_HUMAN,P30493,HLA-B,ENSG00000206450,,NA,Miscellaneous,surface,0.7844,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B56_HUMAN,P30495,HLA-B,ENSG00000206450,,NA,Miscellaneous,surface,0.7884,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B57_HUMAN,P18465,HLA-B,ENSG00000224608,,1,Miscellaneous,surface,0.7685,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B58_HUMAN,P10319,HLA-B,ENSG00000224608,,NA,Miscellaneous,surface,0.7764,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B59_HUMAN,Q29940,HLA-B,ENSG00000206450,,NA,Miscellaneous,surface,0.7784,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B67_HUMAN,Q29836,HLA-B,ENSG00000234745,,NA,Miscellaneous,surface,0.7944,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B73_HUMAN,Q31612,HLA-B,ENSG00000234745,,NA,Miscellaneous,surface,0.7964,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B78_HUMAN,P30498,HLA-B,ENSG00000206450,,1,Miscellaneous,surface,0.7884,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
1B81_HUMAN,Q31610,HLA-B,ENSG00000234745,,NA,Miscellaneous,surface,0.7824,surface,merged,P01889,HLAB_HUMAN,HLA-B,no,yes,no
