census_accession,gene,tile_index,start,end,length,tile_cut_kind,merge_rule,straddle_handling,gap_tolerance,protein_regime,route,tile_max_aa,route_at,ruling,trained_context,f059_peak_gib,preflight_outcome,preflight_why
Q9P273,TENM3,0,514,576,63,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.266689,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9P273,TENM3,1,578,642,65,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.268395,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9P273,TENM3,2,644,774,131,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.353969,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9P273,TENM3,3,1200,1244,45,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.253695,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9P273,TENM3,4,1270,1314,45,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.253695,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9P273,TENM3,5,1331,1371,41,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.251386,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9P273,TENM3,6,1402,1429,28,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.245345,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9P273,TENM3,7,1458,1501,44,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.253098,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9P273,TENM3,8,1511,1530,20,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.242743,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9P273,TENM3,9,1547,1567,21,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.243021,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9P273,TENM3,10,1610,1652,43,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.252514,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9P273,TENM3,11,1823,1842,20,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.242743,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9P273,TENM3,12,1864,1903,40,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.250842,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9P273,TENM3,13,1910,1967,58,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.262652,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9P273,TENM3,14,1970,1990,21,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.243021,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9P273,TENM3,15,1993,2013,21,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.243021,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9P273,TENM3,16,2021,2040,20,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.242743,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
Q9P273,TENM3,17,2046,2090,45,whole_run,abutting_or_overlapping,drop,0,all_runs_in_context,local,1026,440,D-104,1026,5.253695,refused_no_measurement,"fold loop does not consult the guard (RB, not this pass; F-049); F-059 is a law, not a measurement of this case (F-061); requirement_mib=None; RA2 cache-only, no live CUDA"
