census_accession,census_class,census_identity_status,source_identifiers,fetch_failed,fetch_error,fetched_on,uniprot_release,span_aa_v1,span_aa,span_start,span_end,span_rule,span_category,no_span_reason,span_boundary_coordinate,terms_unruled,terms_held,guards,parsed_under
P04439,surface,active,1A01_HUMAN|1A02_HUMAN|1A03_HUMAN|1A11_HUMAN|1A23_HUMAN|1A24_HUMAN|1A25_HUMAN|1A26_HUMAN|1A29_HUMAN|1A30_HUMAN|1A31_HUMAN|1A32_HUMAN|1A33_HUMAN|1A34_HUMAN|1A36_HUMAN|1A43_HUMAN|1A66_HUMAN|1A68_HUMAN|1A69_HUMAN|1A74_HUMAN|1A80_HUMAN,false,,2026-08-06,2003-08-22,284,284,25,308,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P01889,surface,active,1B07_HUMAN|1B08_HUMAN|1B13_HUMAN|1B14_HUMAN|1B15_HUMAN|1B18_HUMAN|1B27_HUMAN|1B35_HUMAN|1B37_HUMAN|1B38_HUMAN|1B39_HUMAN|1B40_HUMAN|1B41_HUMAN|1B42_HUMAN|1B44_HUMAN|1B45_HUMAN|1B46_HUMAN|1B47_HUMAN|1B48_HUMAN|1B49_HUMAN|1B50_HUMAN|1B51_HUMAN|1B52_HUMAN|1B53_HUMAN|1B54_HUMAN|1B55_HUMAN|1B56_HUMAN|1B57_HUMAN|1B58_HUMAN|1B59_HUMAN|1B67_HUMAN|1B73_HUMAN|1B78_HUMAN|1B81_HUMAN|1B82_HUMAN,false,,2026-08-06,1991-02-01,285,285,25,309,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P10321,surface,active,1C01_HUMAN|1C02_HUMAN|1C03_HUMAN|1C04_HUMAN|1C05_HUMAN|1C06_HUMAN|1C07_HUMAN|1C08_HUMAN|1C12_HUMAN|1C14_HUMAN|1C15_HUMAN|1C16_HUMAN|1C17_HUMAN|1C18_HUMAN,false,,2026-08-06,2005-12-20,284,284,25,308,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P01911,surface,active,2B11_HUMAN|2B13_HUMAN|2B14_HUMAN|2B17_HUMAN|2B18_HUMAN|2B19_HUMAN|2B1A_HUMAN|2B1B_HUMAN|2B1C_HUMAN|2B1D_HUMAN|2B1E_HUMAN|2B1F_HUMAN|2B1G_HUMAN,false,,2026-08-06,2008-01-15,198,198,30,227,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P08195,surface,active,4F2_HUMAN,false,,2026-08-06,2026-01-28,425,425,105,529,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P08908,surface,active,5HT1A_HUMAN,false,,2026-08-06,1993-04-01,38,38,1,38,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P28222,surface,active,5HT1B_HUMAN,false,,2026-08-06,1992-12-01,46,46,1,46,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P28221,surface,active,5HT1D_HUMAN,false,,2026-08-06,1992-12-01,38,38,1,38,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P28566,surface,active,5HT1E_HUMAN,false,,2026-08-06,1992-12-01,22,22,158,179,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P30939,surface,active,5HT1F_HUMAN,false,,2026-08-06,1993-07-01,24,24,1,24,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P28223,surface,active,5HT2A_HUMAN,false,,2026-08-06,1994-06-01,80,80,1,80,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P41595,surface,active,5HT2B_HUMAN,false,,2026-08-06,1995-11-01,56,56,1,56,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P28335,surface,active,5HT2C_HUMAN,false,,2026-08-06,2022-02-23,24,24,190,213,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P46098,surface,active,5HT3A_HUMAN,false,,2026-08-06,1995-11-01,218,218,24,241,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O95264,surface,active,5HT3B_HUMAN,false,,2026-08-06,1999-05-01,217,217,22,238,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q8WXA8,surface,active,5HT3C_HUMAN,false,,2026-08-06,2008-01-15,221,221,28,248,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q70Z44,surface,active,5HT3D_HUMAN,false,,2026-08-06,2011-06-28,208,208,25,232,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
A5X5Y0,surface,active,5HT3E_HUMAN,false,,2026-08-06,2007-07-10,223,223,26,248,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q13639,surface,active,5HT4R_HUMAN,false,,2026-08-06,2001-01-11,31,31,158,188,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P47898,surface,active,5HT5A_HUMAN,false,,2026-08-06,1996-02-01,36,36,1,36,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P50406,surface,active,5HT6R_HUMAN,false,,2026-08-06,1996-10-01,27,27,1,27,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P34969,surface,active,5HT7R_HUMAN,false,,2026-08-06,2000-05-30,83,83,1,83,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P21589,surface,active,5NTD_HUMAN,false,,2026-08-06,1991-05-01,,522,27,548,gpi_rule_A,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P05067,surface,active,A4_HUMAN,false,,2026-08-06,1991-11-01,684,684,18,701,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P30542,surface,active,AA1R_HUMAN,false,,2026-08-06,1993-04-01,26,26,148,173,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P29274,surface,active,AA2AR_HUMAN,false,,2026-08-06,1994-06-01,30,30,144,173,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P29275,surface,active,AA2BR_HUMAN,false,,2026-08-06,1992-12-01,34,34,145,178,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P33765,surface,inactive,AA3R_HUMAN,false,,,,,,,,,,not fetched: uniprot_inactive,,,,,
Q9NS82,surface,active,AAA1_HUMAN,false,,2026-08-06,2000-10-01,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q15758,surface,active,AAAT_HUMAN,false,,2026-08-06,2002-06-20,71,71,154,224,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O95477,surface,active,ABCA1_HUMAN,false,,2026-08-06,2010-10-05,597,597,43,639,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9BZC7,surface,active,ABCA2_HUMAN,false,,2026-08-06,2018-09-12,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q99758,surface,active,ABCA3_HUMAN,false,,2026-08-06,2006-01-24,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P78363,surface,active,ABCA4_HUMAN,false,,2026-08-06,2000-05-30,604,604,43,646,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q8WWZ7,surface,active,ABCA5_HUMAN,false,,2026-08-06,2006-10-03,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q8N139,surface,active,ABCA6_HUMAN,false,,2026-08-06,2006-10-03,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q8IZY2,surface,active,ABCA7_HUMAN,false,,2026-08-06,2007-12-04,507,507,43,549,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O94911,surface,active,ABCA8_HUMAN,false,,2026-08-06,2021-02-10,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q8IUA7,surface,active,ABCA9_HUMAN,false,,2026-08-06,2003-03-01,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q86UK0,surface,active,ABCAC_HUMAN,false,,2026-08-06,2009-11-24,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q86UQ4,surface,active,ABCAD_HUMAN,false,,2026-08-06,2025-06-18,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q2M3G0,surface,active,ABCB5_HUMAN,false,,2026-08-06,2014-10-01,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9NP78,surface,active,ABCB9_HUMAN,false,,2026-08-06,2000-10-01,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O95342,surface,active,ABCBB_HUMAN,false,,2026-08-06,2009-11-03,64,64,84,147,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O60706,surface,active,ABCC9_HUMAN,false,,2026-08-06,2008-11-25,97,97,1149,1245,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q96J66,surface,active,ABCCB_HUMAN,false,,2026-08-06,2001-12-01,36,36,828,863,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9UNQ0,surface,active,ABCG2_HUMAN,false,,2026-08-06,2005-05-10,74,74,557,630,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9H172,surface,active,ABCG4_HUMAN,false,,2026-08-06,2001-12-05,64,64,554,617,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9H222,surface,active,ABCG5_HUMAN,false,,2026-08-06,2001-03-01,74,74,550,623,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O00400,surface,active,ACATN_HUMAN,false,,2026-08-06,1997-07-01,23,23,321,343,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
