census_accession,span_aa,segment_count,extracellular_total_aa,discarded_aa,folded_fraction,topology,segments
P51677,34,4,97,63,0.351,intermittent,1-34;94-107;172-203;265-281
P05362,453,1,453,0,1.000,contiguous,28-480
Q96LB2,24,4,46,22,0.522,intermittent,1-24;88-93;166-171;241-250
Q9UNW8,45,4,97,52,0.464,intermittent,1-45;103-116;179-197;270-288
Q9Y5F0,662,1,662,0,1.000,contiguous,29-690
Q9UQQ1,712,1,712,0,1.000,contiguous,29-740
Q8NC54,147,1,147,0,1.000,contiguous,50-196
Q8NEW7,30,1,30,0,1.000,contiguous,28-57
Q969I6,104,6,253,149,0.411,intermittent,1-104;173-195;242-332;391-411;475-476;536-547
O75121,121,1,121,0,1.000,contiguous,29-149
Q9Y2I2,481,0,0,0,,no_accepted_segment,
Q6ZVN8,364,0,0,0,,no_accepted_segment,
Q8TEB9,64,2,87,23,0.736,intermittent,43-106;158-180
Q9P273,2368,1,2368,0,1.000,contiguous,332-2699
Q16280,23,3,38,15,0.605,intermittent,167-176;242-246;297-319
P32970,155,1,155,0,1.000,contiguous,39-193
Q01726,41,4,72,31,0.569,intermittent,1-41;101-113;184-186;264-278
Q8NH85,36,4,98,62,0.367,intermittent,1-25;76-99;161-196;259-271
Q9UHP7,132,1,132,0,1.000,contiguous,60-191
P32745,43,4,96,53,0.448,intermittent,1-43;102-116;182-205;280-293
P54762,523,1,523,0,1.000,contiguous,18-540
O14917,690,1,690,0,1.000,contiguous,18-707
Q5VUY2,382,1,382,0,1.000,contiguous,26-407
Q8N386,145,1,145,0,1.000,contiguous,21-165
Q8NER5,92,1,92,0,1.000,contiguous,22-113
Q8NBM4,56,2,73,17,0.767,intermittent,36-91;147-163
Q99726,11,3,28,17,0.393,intermittent,97-105;167-177;257-264
P43003,91,5,156,65,0.583,intermittent,69-86;146-236;298-318;413-425;460-472
Q9NZ43,7,1,7,0,1.000,contiguous,253-259
Q86WA9,144,7,256,112,0.562,intermittent,1-51;95-100;141-147;219-250;329-341;396-398;463-606
P15941,1135,1,1135,0,1.000,contiguous,24-1158
Q9NY46,100,16,336,236,0.298,intermittent,147-152;207-213;270-369;387-397;780-787;843-846;905-929;946-956;1227-1238;1293-1301;1357-1402;1420-1442;1546-1553;1606-1617;1678-1699;1713-1744
P55259,483,0,0,0,,no_accepted_segment,
Q9UNX9,23,2,32,9,0.719,intermittent,111-133;151-159
Q9Y5I4,666,1,666,0,1.000,contiguous,43-708
Q9BQS2,4,1,4,0,1.000,contiguous,1-4
A4D0T7,5,1,5,0,1.000,contiguous,25-29
P34969,83,4,124,41,0.669,intermittent,1-83;141-152;220-237;353-363
O75954,97,2,118,21,0.822,intermittent,35-55;107-203
Q9H339,36,4,98,62,0.367,intermittent,1-23;74-97;159-194;257-271
Q8NGY9,37,4,95,58,0.389,intermittent,1-24;79-99;158-194;259-271
Q8NGN4,37,4,96,59,0.385,intermittent,1-23;74-98;160-196;258-268
Q86VB7,1009,1,1009,0,1.000,contiguous,42-1050
Q9UPC5,61,4,124,63,0.492,intermittent,1-61;110-128;193-216;291-310
Q8N9M5,260,1,260,0,1.000,contiguous,1-260
Q86WK7,364,1,364,0,1.000,contiguous,20-383
Q9H341,40,4,89,49,0.449,intermittent,1-40;98-110;187-213;274-282
Q9NYW3,38,4,75,37,0.507,intermittent,1-9;77-94;150-187;257-266
P01133,1010,1,1010,0,1.000,contiguous,23-1032
P59534,30,4,87,57,0.345,intermittent,1-30;96-116;178-205;284-291
Q8NGY7,36,4,98,62,0.367,intermittent,1-25;76-99;161-196;258-270
Q9UKL2,37,4,103,66,0.359,intermittent,1-27;78-101;163-199;262-276
Q8NGS8,37,4,105,68,0.352,intermittent,1-25;76-99;161-197;259-277
Q9ULB1,1371,1,1371,0,1.000,contiguous,31-1401
Q9NQW8,22,3,32,10,0.688,intermittent,243-249;318-320;372-393
Q9Y3B3,153,1,153,0,1.000,contiguous,35-187
P07204,497,1,497,0,1.000,contiguous,19-515
Q8N614,186,1,186,0,1.000,contiguous,26-211
O43292,329,3,375,46,0.877,intermittent,42-370;451-462;564-597
O00264,24,1,24,0,1.000,contiguous,1-24
Q96LA6,291,1,291,0,1.000,contiguous,17-307
Q96DS6,47,1,47,0,1.000,contiguous,74-120
O75015,183,0,0,0,,no_accepted_segment,
Q9H0Q3,17,1,17,0,1.000,contiguous,19-35
O95502,477,1,477,0,1.000,contiguous,24-500
Q9H461,248,4,365,117,0.679,intermittent,28-275;334-396;461-483;554-584
O75752,288,1,288,0,1.000,contiguous,44-331
Q8NGL1,36,4,99,63,0.364,intermittent,1-26;77-100;162-197;260-272
Q9UKR8,14,2,17,3,0.824,intermittent,35-37;81-94
Q9P1Q5,37,4,95,58,0.389,intermittent,1-25;80-100;159-195;259-270
P04035,39,4,69,30,0.565,intermittent,40-56;115-123;188-191;276-314
Q8N4A0,543,1,543,0,1.000,contiguous,36-578
P08138,222,1,222,0,1.000,contiguous,29-250
Q86UK5,274,1,274,0,1.000,contiguous,27-300
P59540,31,4,60,29,0.517,intermittent,1-1;68-86;148-178;251-259
O43306,60,1,60,0,1.000,contiguous,760-819
P02708,212,3,232,20,0.914,intermittent,21-232;286-296;449-457
P23471,1612,1,1612,0,1.000,contiguous,25-1636
Q8WTV0,411,1,411,0,1.000,contiguous,33-443
Q96BY9,143,1,143,0,1.000,contiguous,31-173
Q8N158,530,0,0,0,,no_accepted_segment,
Q9NPD7,88,0,0,0,,no_accepted_segment,
Q86X52,774,1,774,0,1.000,contiguous,29-802
Q9Y691,127,1,127,0,1.000,contiguous,68-194
Q8NBJ9,278,6,408,130,0.681,intermittent,19-296;469-499;568-605;653-688;737-746;818-832
Q6UW88,88,1,88,0,1.000,contiguous,23-110
Q02223,54,1,54,0,1.000,contiguous,1-54
P42892,681,1,681,0,1.000,contiguous,90-770
P05186,483,0,0,0,,no_accepted_segment,
O60507,345,1,345,0,1.000,contiguous,26-370
O43570,277,1,277,0,1.000,contiguous,25-301
Q9H0V9,269,1,269,0,1.000,contiguous,45-313
Q8IY49,16,4,33,17,0.485,intermittent,60-65;124-132;204-205;255-270
Q15617,37,4,99,62,0.374,intermittent,1-25;76-99;161-197;259-271
O95006,37,4,96,59,0.385,intermittent,1-25;80-100;159-195;260-272
P58658,274,1,274,0,1.000,contiguous,49-322
P22413,828,1,828,0,1.000,contiguous,98-925
Q8NCG5,358,1,358,0,1.000,contiguous,29-386
Q7LFX5,460,1,460,0,1.000,contiguous,102-561
O75882,1196,1,1196,0,1.000,contiguous,84-1279
Q9NYQ8,4030,1,4030,0,1.000,contiguous,19-4048
Q13621,112,5,185,73,0.605,intermittent,199-201;281-302;349-379;439-550;593-609
Q30201,284,1,284,0,1.000,contiguous,23-306
Q8NGN1,37,4,99,62,0.374,intermittent,1-25;76-99;161-197;259-271
Q9Y3E0,2,2,3,1,0.667,intermittent,31-32;90-90
O43315,37,4,72,35,0.514,intermittent,44-57;124-160;208-210;226-243
Q9Y5I1,667,1,667,0,1.000,contiguous,30-696
P16442,301,1,301,0,1.000,contiguous,54-354
P41732,101,2,117,16,0.863,intermittent,41-56;113-213
Q8N2K0,303,1,303,0,1.000,contiguous,96-398
P34741,126,1,126,0,1.000,contiguous,19-144
Q504Y0,202,5,294,92,0.687,intermittent,1-202;391-398;470-538;624-631;685-691
