acc,arm,n_dom,span_aa,pae_emitted,pae_matrix_n,mean_plddt,artifact_dir_set,seconds
A6NI73,multi,2,227,True,227,73.38,True,34.4
B6A8C7,multi,2,220,True,220,74.1,True,14.4
O00478,multi,2,219,True,219,76.46,True,14.3
O00481,multi,2,225,True,225,72.1,True,16.2
O14511,multi,2,294,True,294,71.96,True,31.0
O00241,multi,3,342,True,342,72.74,True,41.6
O15389,multi,3,425,True,425,72.4,True,70.6
O43699,multi,3,321,True,321,75.85,True,38.3
P04629,multi,3,391,True,391,72.1,True,60.1
P06127,multi,3,348,True,348,70.34,True,43.7
A6NMB1,multi,4,418,True,418,71.9,True,68.3
O75022,multi,4,420,True,420,75.25,True,68.7
O75023,multi,4,435,True,435,75.24,True,75.0
O95185,multi,4,340,True,340,74.55,True,42.2
P01730,multi,4,371,True,371,72.28,True,50.0
P80370,multi,6,280,True,280,73.74,True,26.6
Q14162,multi,6,402,True,402,78.88,True,61.2
Q6UY11,multi,6,280,True,280,77.21,True,26.5
Q7Z4F1,multi,6,424,True,424,71.33,True,72.0
Q96GP6,multi,7,398,True,398,81.58,True,61.0
A6NF34,single,1,326,True,326,74.19,True,37.4
P16871,single,1,219,True,219,65.87,True,15.4
P52961,single,1,272,True,272,80.04,True,25.2
Q16832,single,1,378,True,378,80.89,True,54.1
Q8WWV6,single,1,434,True,434,45.94,True,77.2
