fold_index,accession,job_id,span_aa,wall_seconds,free_mib_before,requirement_mib,peak_vram_mib,child_wall_s,parent_wall_s,emitted_pae
1,Q8WXF7,3698,1,17.22,7043,6357,"{'max_allocated_mib': 5361, 'max_reserved_mib': 5488}",14.0,16.26,True
2,Q9Y3E0,3699,2,16.3,7043,6357,"{'max_allocated_mib': 5362, 'max_reserved_mib': 5488}",13.85,16.11,True
3,Q86Y82,3700,7,16.57,7043,6357,"{'max_allocated_mib': 5366, 'max_reserved_mib': 5490}",14.08,16.36,True
4,Q8TB68,3701,9,16.46,7043,6357,"{'max_allocated_mib': 5367, 'max_reserved_mib': 5492}",13.96,16.23,True
5,Q0VDE8,3702,13,16.67,7043,6357,"{'max_allocated_mib': 5370, 'max_reserved_mib': 5496}",14.21,16.48,True
6,Q9ULK5,3703,18,16.33,7043,6357,"{'max_allocated_mib': 5374, 'max_reserved_mib': 5498}",13.83,16.13,True
7,Q9BRY0,3704,22,16.46,7043,6357,"{'max_allocated_mib': 5377, 'max_reserved_mib': 5500}",13.98,16.22,True
8,A6ND48,3705,27,16.6,7043,6357,"{'max_allocated_mib': 5380, 'max_reserved_mib': 5498}",14.08,16.36,True
9,Q8NGZ5,3706,37,16.57,7043,6357,"{'max_allocated_mib': 5388, 'max_reserved_mib': 5504}",14.0,16.27,True
10,P47883,3707,38,16.78,7043,6357,"{'max_allocated_mib': 5388, 'max_reserved_mib': 5504}",14.02,16.28,True
11,Q9H2H9,3708,38,16.4,7043,6357,"{'max_allocated_mib': 5388, 'max_reserved_mib': 5504}",13.91,16.16,True
12,Q8NH07,3709,44,16.35,7043,6357,"{'max_allocated_mib': 5393, 'max_reserved_mib': 5508}",13.85,16.12,True
13,Q17RY6,3710,120,18.41,7043,6357,"{'max_allocated_mib': 5462, 'max_reserved_mib': 5496}",15.77,17.99,True
14,Q6UX15,3711,214,28.24,7043,6357,"{'max_allocated_mib': 5674, 'max_reserved_mib': 5876}",25.24,27.51,True
15,Q6UXG8,3712,222,29.13,7043,6357,"{'max_allocated_mib': 5697, 'max_reserved_mib': 5924}",26.27,28.53,True
16,A5X5Y0,3713,223,29.3,7043,6357,"{'max_allocated_mib': 5702, 'max_reserved_mib': 5924}",26.51,28.74,True
17,Q8N3G9,3714,315,47.61,7043,6357,"{'max_allocated_mib': 6034, 'max_reserved_mib': 6560}",44.62,46.85,True
18,O43556,3715,317,48.24,7043,6357,"{'max_allocated_mib': 6046, 'max_reserved_mib': 6570}",45.03,47.29,True
19,Q9H2X3,3716,329,51.45,7043,6357,"{'max_allocated_mib': 6097, 'max_reserved_mib': 6662}",48.4,50.67,True
20,Q8N0V5,3717,377,65.67,7043,6357,"{'max_allocated_mib': 6323, 'max_reserved_mib': 6886}",61.56,63.81,True
