fold_index,accession,job_id,analysis_id,span_aa,wall_seconds,free_mib_before,requirement_mib,peak_allocated_mib,peak_reserved_mib,emitted_pae,served_structure_bytes,served_pae,verdict,at
1,O14653,4389,4390,1,34.04,7043,6357,5361,5488,True,609,True,ok,2026-09-13T05:46:13
2,O15258,4390,4391,1,15.33,7043,6357,5361,5488,True,771,True,ok,2026-09-13T05:46:29
3,P61803,4391,4392,1,15.29,7043,6357,5361,5488,True,609,True,ok,2026-09-13T05:46:44
4,Q12846,4392,4393,1,15.36,7043,6357,5361,5488,True,366,True,ok,2026-09-13T05:47:01
5,Q13190,4393,4394,1,15.44,7043,6357,5361,5488,True,447,True,ok,2026-09-13T05:47:17
6,Q5T4F4,4394,4395,1,15.37,7043,6357,5361,5488,True,690,True,ok,2026-09-13T05:47:33
7,Q6DD88,4395,4396,1,15.2,7043,6357,5361,5488,True,771,True,ok,2026-09-13T05:47:49
8,Q9H902,4396,4397,1,15.16,7043,6357,5361,5488,True,690,True,ok,2026-09-13T05:48:05
9,Q9Y6A9,4397,4398,1,15.2,7043,6357,5361,5488,True,609,True,ok,2026-09-13T05:48:20
10,O15400,4398,4399,2,15.12,7043,6357,5362,5488,True,1500,True,ok,2026-09-13T05:48:36
11,P23763,4399,4400,2,15.27,7043,6357,5362,5488,True,1500,True,ok,2026-09-13T05:48:52
12,P63027,4400,4401,2,15.3,7043,6357,5362,5488,True,1095,True,ok,2026-09-13T05:49:08
13,Q00765,4401,4402,2,15.15,7043,6357,5362,5488,True,1338,True,ok,2026-09-13T05:49:24
14,Q06136,4402,4403,2,15.31,7043,6357,5362,5488,True,1500,True,ok,2026-09-13T05:49:40
15,Q14442,4403,4404,2,15.18,7043,6357,5362,5488,True,1176,True,ok,2026-09-13T05:49:56
16,Q15836,4404,4405,2,15.34,7043,6357,5362,5488,True,1014,True,ok,2026-09-13T05:50:12
17,Q16623,4405,4406,2,15.49,7043,6357,5362,5488,True,1338,True,ok,2026-09-13T05:50:29
18,Q7Z6L0,4406,4407,2,16.33,7043,6357,5362,5488,True,1743,True,ok,2026-09-13T05:50:46
19,Q86SK9,4407,4408,2,19.5,7043,6357,5362,5488,True,1338,True,ok,2026-09-13T05:51:06
20,Q8NHH9,4408,4409,2,19.84,7043,6357,5362,5488,True,1176,True,ok,2026-09-13T05:51:27
21,Q969M3,4409,4410,2,20.29,7043,6357,5362,5488,True,1014,True,ok,2026-09-13T05:51:47
22,Q96F15,4410,4411,2,20.02,7043,6357,5362,5488,True,1662,True,ok,2026-09-13T05:52:08
23,Q9BT22,4411,4412,2,18.94,7043,6357,5362,5488,True,1095,True,ok,2026-09-13T05:52:28
24,Q9P0S3,4412,4413,2,19.48,7043,6357,5362,5488,True,1419,True,ok,2026-09-13T05:52:48
25,A0FGR8,4413,4414,3,19.41,7043,6357,5364,5488,True,2148,True,ok,2026-09-13T05:53:08
26,O14662,4414,4415,3,19.51,7043,6357,5364,5488,True,2148,True,ok,2026-09-13T05:53:28
27,O15155,4415,4416,3,19.51,7043,6357,5364,5488,True,2310,True,ok,2026-09-13T05:53:49
28,O60831,4416,4417,3,20.6,7043,6357,5364,5488,True,1500,True,ok,2026-09-13T05:54:10
29,Q14789,4417,4418,3,19.39,7043,6357,5364,5488,True,1824,True,ok,2026-09-13T05:54:30
30,Q8IXB3,4418,4419,3,20.71,7043,6357,5364,5488,True,2229,True,ok,2026-09-13T05:54:51
31,Q8N111,4419,4420,3,17.91,7043,6357,5364,5488,True,2391,True,ok,2026-09-13T05:55:10
32,Q8N8F6,4420,4421,3,15.62,7043,6357,5364,5488,True,1338,True,ok,2026-09-13T05:55:26
33,Q96F25,4421,4422,3,15.66,7043,6357,5364,5488,True,1743,True,ok,2026-09-13T05:55:42
34,Q9BSJ8,4422,4423,3,15.6,7043,6357,5364,5488,True,2472,True,ok,2026-09-13T05:55:59
35,Q9UEU0,4423,4424,3,15.33,7043,6357,5364,5488,True,2229,True,ok,2026-09-13T05:56:15
36,B4DJY2,4424,4425,4,15.34,7043,6357,5364,5490,True,2553,True,ok,2026-09-13T05:56:31
37,O00767,4425,4426,4,15.41,7043,6357,5364,5490,True,2391,True,ok,2026-09-13T05:56:47
38,O43561,4426,4427,4,15.3,7043,6357,5364,5490,True,2553,True,ok,2026-09-13T05:57:03
39,P0C6T2,4427,4428,4,15.33,7043,6357,5364,5490,True,2553,True,ok,2026-09-13T05:57:19
40,P59025,4428,4429,4,15.54,7043,6357,5364,5490,True,2472,True,ok,2026-09-13T05:57:35
41,Q15005,4429,4430,4,15.53,7043,6357,5364,5490,True,2553,True,ok,2026-09-13T05:57:51
42,Q587I9,4430,4431,4,18.43,7043,6357,5364,5490,True,2958,True,ok,2026-09-13T05:58:10
43,Q6ZS82,4431,4432,4,19.01,7043,6357,5364,5490,True,2310,True,ok,2026-09-13T05:58:30
44,Q8N138,4432,4433,4,19.26,7043,6357,5364,5490,True,3120,True,ok,2026-09-13T05:58:50
45,Q96AJ9,4433,4434,4,19.32,7043,6357,5364,5488,True,3201,True,ok,2026-09-13T05:59:10
46,Q96PD7,4434,4435,4,20.16,7043,6357,5364,5490,True,2391,True,ok,2026-09-13T05:59:31
47,Q9BQS2,4435,4436,4,19.21,7043,6357,5364,5490,True,2553,True,ok,2026-09-13T05:59:51
48,Q9BV40,4436,4437,4,19.9,7043,6357,5364,5490,True,2148,True,ok,2026-09-13T06:00:11
49,Q9NRY7,4437,4438,4,19.75,7043,6357,5364,5490,True,3120,True,ok,2026-09-13T06:00:32
50,Q9NYM9,4438,4439,4,18.54,7043,6357,5364,5490,True,2796,True,ok,2026-09-13T06:00:51
51,Q9UGQ2,4439,4440,4,18.39,7043,6357,5364,5490,True,2715,True,ok,2026-09-13T06:01:10
52,Q9UNK0,4440,4441,4,19.88,7043,6357,5364,5490,True,2958,True,ok,2026-09-13T06:01:30
53,Q9UPX6,4441,4442,4,19.27,7043,6357,5364,5490,True,2472,True,ok,2026-09-13T06:01:50
54,A4D0T7,4442,4443,5,18.56,7043,6357,5364,5490,True,2715,True,ok,2026-09-13T06:02:10
