acc,arm,tranche,span_aa,n_dom
A6NI73,multi,3,227,2
B6A8C7,multi,3,220,2
O00478,multi,3,219,2
O00481,multi,3,225,2
O14511,multi,3,294,2
O00241,multi,4,342,3
O15389,multi,4,425,3
O43699,multi,4,321,3
P04629,multi,4,391,3
P06127,multi,4,348,3
A6NMB1,multi,4,418,4
O75022,multi,4,420,4
O75023,multi,4,435,4
O95185,multi,4,340,4
P01730,multi,4,371,4
P80370,multi,3,280,6
Q14162,multi,4,402,6
Q6UY11,multi,3,280,6
Q7Z4F1,multi,4,424,6
Q96GP6,multi,4,398,7
A6NF34,single,4,326,1
P16871,single,3,219,1
P52961,single,3,272,1
Q16832,single,4,378,1
Q8WWV6,single,4,434,1
